,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
173,Nat'l Average,1936,531.0,45647699,45647699.0,100.0,531.0,85966.0,1.0,48,All 48
174,Midwest,1940,153.0,18588567,14313197.0,37.25,197.8,121494.0,0.77,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
175,Northeast,1940,124.0,15163019,11675525.0,30.39,161.35,122282.0,0.77,5,"CT,MA,NJ,NY,PA"
176,Small,1940,56.0,3456856,5254421.0,6.93,36.78,61730.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
177,South,1940,162.0,8082043,15194241.0,16.2,86.0,49889.0,1.88,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
178,West,1940,36.0,4611628,3366488.0,9.24,49.07,128101.0,0.73,3,"CA,CO,WA"
179,Nat'l Average,1940,531.0,49902113,49902113.0,100.0,531.0,93978.0,1.0,48,All 48
180,Midwest,1944,147.0,17453087,13264346.0,36.38,193.17,118728.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
181,Northeast,1944,122.0,14867999,11002319.0,30.99,164.56,121869.0,0.74,5,"CT,MA,NJ,NY,PA"
182,Small,1944,53.0,2637698,4800610.0,5.5,29.19,49768.0,1.82,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
183,South,1944,164.0,7655890,14852427.0,15.96,84.73,46682.0,1.94,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
184,West,1944,45.0,5362389,4075416.0,11.18,59.35,119164.0,0.76,4,"CA,CO,OR,WA"
185,Nat'l Average,1944,531.0,47977063,47977063.0,100.0,531.0,90352.0,1.0,48,All 48
186,Midwest,1948,147.0,17069617,13484997.0,34.98,185.76,116120.0,0.79,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
187,Northeast,1948,122.0,14852704,11139528.0,30.44,161.64,121743.0,0.75,5,"CT,MA,NJ,NY,PA"
188,Small,1948,53.0,2800274,4872477.0,5.74,30.47,52835.0,1.74,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
189,South,1948,164.0,8105026,15075348.0,16.61,88.2,49421.0,1.86,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
190,West,1948,45.0,5965914,4116481.0,12.23,64.92,132576.0,0.69,4,"CA,CO,OR,WA"
191,Nat'l Average,1948,531.0,48793535,48793535.0,100.0,531.0,91890.0,1.0,48,All 48
192,Midwest,1952,145.0,20589247,16883183.0,33.34,177.04,141995.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
